Folio,Periodo,Genero,Nivel,Entrada,PNA,PAA,Admitido,PrepaTEC,Perfil,Inscrito,P_Beca,P_Prestamo,Edad,Nivel_SE,Rezago,Tipo_Zona,Solicitud_B,FGS,Papas_Exatec,Foraneo,Intencion
DDIGDD,AD19,M,Profesional,IIT,98,1450,1,NO,Perfil A+,Si,0.55,0.25,19,7,Bajo,Urbano,Si,Si,Sin información,Local,No aplica
DDIGDE,AD19,F,Profesional,IBQ,99,1440,1,NO,Perfil A+,Si,0.2,0,19,4,Bajo,Urbano,Si,No,Sin información,Local,No aplica
DDIGDF,AD19,F,Profesional,NEG,93,1440,1,NO,Perfil A+,Si,0.2,0,18,Sin información,Bajo,Urbano,Si,No,Sin información,Local,No aplica
DDIGDG,AD19,M,Profesional,IIT,99,1420,1,NO,Perfil A+,Si,0.2,0,19,6,Bajo,Urbano,Si,No,Sin información,Local,No aplica
DDIGDH,AD19,M,Profesional,IIT,92,1370,1,NO,Perfil A+,Si,0.55,0.25,18,7,Bajo,Urbano,Si,No,Sin información,Local,No aplica
DDIGDI,AD19,F,Profesional,IBQ,99,1510,1,NO,Perfil A+,Si,0.2,0,19,Sin información,Sin información,Urbano,Si,Si,Sin información,Local,No aplica
DDIGDJ,AD19,F,Profesional,IBQ,100,1430,1,NO,Perfil A+,Si,0.55,0.25,18,Sin información,Bajo,Urbano,Si,No,Sin información,Local,No aplica
DDIGDK,AD19,F,Profesional,IIT,90,1230,1,NO,Perfil A,No,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Local,No aplica
DDIGEB,AD19,M,Profesional,IIT,96,1320,1,NO,Perfil A,No,0,0,18,7,Bajo,Urbano,No,No,Sin información,Local,No aplica
DDIGEC,AD19,F,Profesional,NEG,93,1350,1,NO,Perfil A,No,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,No aplica
DDIGED,AD19,F,Profesional,NEG,98,1180,1,NO,Perfil A,No,0,0,19,6,Bajo,Rural,No,Si,Sin información,Local,No aplica
DDIGEE,AD19,F,Profesional,IIT,90,1160,1,NO,Perfil B,No,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Local,No aplica
